prod_id,title,main_cat,sub_cat,image_url,price,desc,homepage_rank,is_original,is_active,format_id,photographer_id,year_taken
260,Lonely Bench on a Cold Winter Day ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/lonely-bench-on-a-cold-winter-day_260.jpg,49,"**This is actually a color photograph, but the day was so overcast and dreary that it looks like an original black and white image.  If you want a true black and white image, please choose the option to Convert photo to B/W.  This photograph of Chicago's Lakefront shows how violent the waters can get when bad weather hits the city.  The photo was shot right off Fullerton Street and was taken around 20 years ago.  It is still a best seller.",7,TRUE,TRUE,1,1,2001
345,Blizzard of 1979 - Chicago Winter ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/blizzard-of-1979-chicago-winter_345.jpg,49,"This photograph captures the harsh winter conditions in Chicago.  This was taken during the winter of 1979 in which over 15 inches of snow fell on several days.  Rather than walk, the man pictured in the photo decided to snow ski along the road.  View more Chicago Black & White photos",1,TRUE,TRUE,1,1,2001
1709,A Cold Day in the City ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/a-cold-day-in-the-city_1709.jpg,49,This photograph was actually taken with color film and features the Chicago Lakefront on a very cold day.  The clouds filled the sky and snow covered all the ground causing this photo to appear as if it were taken with black & white film.  It's days like these that make Chicagoans appreciate the wonderful summer weather.,0,TRUE,TRUE,1,1,2001
bw100,Black & White Navy Pier & Cruise Ships ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/black-white-navy-pier-cruise-ships_bw100.jpg,49,This is a nice black & white view of Navy Pier that captures the popular attraction from a nice angle including all the cruise ships line up for departure onto Lake Michigan.,0,TRUE,TRUE,1,1,2001
bw101,Chicago Art - Black and White Skyline ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/chicago-art-black-and-white-skyline_bw101.jpg,49,,0,TRUE,TRUE,1,1,2001
bw102,Chicago Aerial of Skyline - Black and White ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/chicago-aerial-of-skyline-black-and-white_bw102.jpg,49,,0,TRUE,TRUE,1,1,2001
bw104,Shedd Aquarium ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/shedd-aquarium_bw104.jpg,49,,0,TRUE,TRUE,1,1,2001
bw106,Water Tower with Horse & Carriage ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/water-tower-with-horse-carriage_bw106.jpg,49,,0,TRUE,TRUE,1,1,2001
bw107,Tiffany Dome - Chicago Cultural Center ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/tiffany-dome-chicago-cultural-center_bw107.jpg,49,View this framed photo in a bedroom This stunning photograph captures the elegance of the Tiffany Dome which was built in 1907. It is both the first dome to be built in favrile iridescent glass and is the largest glass mosaic of it's kind containing over 1.6 million pieces!,0,TRUE,TRUE,1,1,2001
bw108,Statues At the Museum of Science and Industry ,chicago black & white,black & white chicago - horizontal,http://www.horschgallery.com/Thumbnail%20Images/statues-at-the-museum-of-science-and-industry_bw108.jpg,49,,0,TRUE,TRUE,1,1,2001
